system:index,DATE_ACQUIRED,NDSI_mean,SPACECRAFT_ID,Trat_1,polygon_id,.geo
00000000000000000081_1_1_LT05_200034_19890302,1989-03-02,-0.2714694815850404,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_1_LT05_200034_19890403,1989-04-03,0.39864897218306056,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_1_LT05_200034_19890419,1989-04-19,-0.25617482131350383,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_1_LT05_200034_19890521,1989-05-21,0.737412030653331,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_1_LT05_200034_19891231,1989-12-31,0.1087566763803178,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_1_LT05_200034_19900116,1990-01-16,0.8072055469323706,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_1_LT05_200034_19900201,1990-02-01,0.7324892525918324,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_1_LT05_200034_19900217,1990-02-17,-0.2857349962772069,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_1_LT05_200034_19900305,1990-03-05,-0.07040083597835252,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_1_LT05_200034_19900406,1990-04-06,0.254134920004343,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_1_LT05_200034_19901202,1990-12-02,-0.027265105007514646,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_1_LT05_200034_19910103,1991-01-03,-0.2605506310057996,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_1_LT05_200034_19910119,1991-01-19,-0.1998284903731931,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_1_LT05_200034_19910204,1991-02-04,0.812154913501236,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_1_LT05_200034_19910220,1991-02-20,0.7782736378214014,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_1_LT05_200034_19910308,1991-03-08,0.33641540022105504,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_1_LT05_200034_19910425,1991-04-25,-0.3049720533334651,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_1_LT05_200034_19910511,1991-05-11,0.003928816171935955,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_1_LT05_200034_19920207,1992-02-07,0.32872980897517384,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_1_LT05_200034_19920223,1992-02-23,0.7851264153185196,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_1_LT05_200034_19920310,1992-03-10,-0.13971096462189242,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_1_LT05_200034_19920326,1992-03-26,-0.21449407418688912,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_1_LT05_200034_19920411,1992-04-11,0.5196661255049195,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_1_LT05_200034_19920427,1992-04-27,-0.2120812170127034,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_1_LT05_200034_19920716,1992-07-16,0.3165419899124304,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_1_LT05_200034_19921207,1992-12-07,0.18687840631182714,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_1_LT05_200034_19930108,1993-01-08,-0.18166026803744859,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_1_LT05_200034_19930209,1993-02-09,0.4233990522666469,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_1_LT05_200034_19930225,1993-02-25,0.2039168006807027,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_1_LT05_200034_19930329,1993-03-29,-0.22204071867374348,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_1_LT05_200034_19930430,1993-04-30,0.5991876671964862,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
